token,endpoint_variant,params,status,rows,first_row_keys,parser_ready,limitations
PEPE,top_flow_event_window,timeGte=1746403200&timeLte=1748217600,OK,0,,false,
PEPE,top_flow_apr_may_narrow,timeGte=1744500000&timeLte=1745400000,OK,0,,false,
PEPE,top_flow_apr_wide,timeGte=1743000000&timeLte=1747000000,OK,0,,false,
LAB,top_flow_event_window,timeGte=1746403200&timeLte=1748217600,OK,0,,false,
LAB,top_flow_apr_may_narrow,timeGte=1744500000&timeLte=1745400000,OK,0,,false,
LAB,top_flow_apr_wide,timeGte=1743000000&timeLte=1747000000,OK,0,,false,
BSB,top_flow_event_window,timeGte=1746403200&timeLte=1748217600,OK,0,,false,
BSB,top_flow_apr_may_narrow,timeGte=1744500000&timeLte=1745400000,OK,0,,false,
BSB,top_flow_apr_wide,timeGte=1743000000&timeLte=1747000000,OK,0,,false,
