token,timeframe,timestamp,close,volume,return_3,vol_zscore_7,range_3,volatility_7,compression,expansion
BSB,hour,2026-05-04T03:00:00.000Z,0.847445412069419,324.6962769949207,,,,,false,false
BSB,hour,2026-05-04T02:00:00.000Z,0.829880554889442,713.1168411562959,,0,,0.02094464597971673,false,false
BSB,hour,2026-05-04T01:00:00.000Z,0.8048605564806,267.24527375812266,,0,0.05290960682062636,0.026228019809627735,false,false
BSB,hour,2026-05-04T00:00:00.000Z,0.799573204985038,610.342544479805,-0.05649001859303183,0,0.03790440914659103,0.021750545253226904,false,false
BSB,hour,2026-05-03T23:00:00.000Z,0.768029205612392,220.39753871678863,-0.07453042358040307,0,0.04795566444487007,0.02756514012316018,false,false
BSB,hour,2026-05-03T22:00:00.000Z,0.759836376025621,0,-0.05594034903618011,0,0.05229656043484433,0.02511718859272181,false,false
BSB,hour,2026-05-03T21:00:00.000Z,0.759836376025621,625.7099354525043,-0.04969754953226649,0,0.010782360315024806,0.022928751288908623,false,false
BSB,hour,2026-05-03T20:00:00.000Z,0.721048048183954,442.3803922539305,-0.06117105584673351,0.047792596551252384,0.05379437325898064,0.029031625563225846,false,false
BSB,hour,2026-05-03T19:00:00.000Z,0.704016825919277,1117.1085543618697,-0.07346259256277289,-0.03571180172464445,0.07928723867282172,0.0293563014459604,false,false
BSB,hour,2026-05-03T18:00:00.000Z,0.658809329916881,231.0900867633863,-0.13295894918478274,0.02848215665618542,0.09447151921015648,0.03683967460645116,false,false
BSB,hour,2026-05-03T17:00:00.000Z,0.663079447886775,283.99448894181614,-0.08039492020424972,-0.07625401100513918,0.06861999967137616,0.03683637723005419,false,false
BSB,hour,2026-05-03T16:00:00.000Z,0.664770595359389,431.37871355785336,-0.055746154232381884,0.02995067494882059,0.009048544353887755,0.03356194674526972,false,false
BSB,hour,2026-05-03T15:00:00.000Z,0.659046863777413,180.6122302924165,0.0003605502377477017,0.19397605723340694,0.008684862786797466,0.033476193706369464,false,false
BSB,hour,2026-05-03T14:00:00.000Z,0.668243400103987,56.08085800080946,0.007787833318721372,-0.004735089504497536,0.013954297990074449,0.03388347333084158,false,false
BSB,hour,2026-05-03T13:00:00.000Z,0.66937810094993,0.615048133844222,0.006930970808132845,-0.13120321046914932,0.015676028125378244,0.027500715897590698,false,false
BSB,hour,2026-05-03T12:00:00.000Z,0.673916191314049,382.7166086280029,0.022561866771371262,-0.5102459375575075,0.008489109221549029,0.0260995351559348,true,false
BSB,hour,2026-05-03T11:00:00.000Z,0.6554883125952,186.807550987398,-0.01908748744365018,-0.5040957536303565,0.028113207153747096,0.012718194909357565,true,false
BSB,hour,2026-05-03T10:00:00.000Z,0.649071596644126,0,-0.030336373832646483,-0.5698808214413154,0.03827712504810913,0.01302361939763551,true,false
