timestamp,token,price_usd,market_cap,volume_24h,return_1h,return_24h,return_7d,volume_to_mcap,coinglass_oi_usd,oi_change_4h,oi_change_24h,oi_change_24h_ratio,oi_zscore_24h,oi_to_market_cap,oi_to_mcap_extreme,oi_change_24h_extreme,funding_rate_raw,funding_rate_decimal,funding_rate_percent,funding_unit_status,funding_zscore_24h,funding_positive_streak,funding_abs_extreme,funding_streak_extreme,liquidation_volume_4h,liquidation_volume_24h,long_liq_4h,short_liq_4h,long_liq_24h,short_liq_24h,liquidation_imbalance_4h,liquidation_imbalance_24h,liquidation_to_oi_4h,liquidation_to_oi_24h,okx_oi_raw,okx_oi_ccy,okx_oi_usd_direct,okx_oi_unit,okx_vs_global_oi_ratio,okx_vs_global_oi_ratio_status,core_data_quality,context_data_quality,final_data_quality,main_state
2026-05-05T08:04:16.322Z,LAB,2.22,166829531,83121211,15.61064,20.79126,225.71361,0.4982,364195731.3541,10589601.354099989,72094748.35409999,0.2468,1.12,2.1830,true,false,0.090533,0.090533,9.05,CONFIRMED_DECIMAL,-0.89,12,true,true,23721.670000000002,3661589.2120579993,3179.04,20542.63,1225427.673745,2436161.5383129995,-0.7320,-0.3307,0.000065,0.010054,715636,7156360,16001620.96,USD_DIRECT,0.0439,USD_DIRECT,1.00,0.30,1.00,LAB_FUNDING_OVERHEATED
2026-05-05T09:09:44.427Z,LAB,2.56,196593856,90957020,14.84834,41.97842,275.91285,0.4627,403658319.4681,50052189.46810001,111557336.46810001,0.3819,1.72,2.0533,true,true,0.165306,0.165306,16.53,CONFIRMED_DECIMAL,-0.02,12,true,true,753387.83,4391255.3720579995,121909.22,631478.61,1344157.853745,3047097.5183129995,-0.6764,-0.3878,0.001866,0.010879,685557,6855570,17610588.216,USD_DIRECT,0.0436,USD_DIRECT,1.00,0.30,1.00,LAB_LIQUIDATION_RISK
2026-05-05T09:20:10.727Z,LAB,2.6,197542746,90877138,5.3363,52.23186,280.93886,0.4600,413635196.6599,60029066.65990001,121534213.65990001,0.4161,1.84,2.0939,true,true,0.165903,0.165903,16.59,CONFIRMED_DECIMAL,-0.02,12,true,true,789896.53,4427764.072058,131964.76,657931.77,1354213.393745,3073550.6783129997,-0.6659,-0.3883,0.001910,0.010705,697186,6971860,18121955.698,USD_DIRECT,0.0438,USD_DIRECT,1.00,0.30,1.00,LAB_LIQUIDATION_RISK
