token,sample_group,price_cache_ready,included
LAB,P0,true,true
UB,P0,true,true
BSB,P0,true,true
AI,P0,false,false
SIREN,P2,true,true
PENDLE,P2,true,true
ONDO,P2,true,true
TAO,CONTROL,true,true
DOGE,CONTROL,true,true
VIRTUAL,CONTROL,true,true
PEPE,CONTROL,true,true
WIF,CONTROL,true,true
FLOKI,CONTROL,true,true
BONK,CONTROL,true,true
SHIB,CONTROL,true,true
ENA,CONTROL,true,true
JUP,CONTROL,true,true
TIA,CONTROL,true,true
