token,sample_group,window_type,matched_p0,segment,segment_start,segment_end,sort_dir,pages_fetched,rows_fetched,unique_tx_hashes,min_timestamp,max_timestamp,covers_segment_start,covers_segment_end,entity_coverage,usd_coverage,pagination_truncated,cache_hits,status,limitations
PENDLE,P2,PSEUDO_EVENT,PENDLE,SEG_A,2026-03-28,2026-04-12,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PENDLE,P2,PSEUDO_EVENT,PENDLE,SEG_B,2026-04-13,2026-04-19,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PENDLE,P2,PSEUDO_EVENT,PENDLE,SEG_C,2026-04-20,2026-04-26,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PENDLE,P2,PSEUDO_EVENT,PENDLE,SEG_D,2026-04-27,2026-04-30,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PENDLE,P2,PSEUDO_EVENT,PENDLE,SEG_E,2026-05-01,2026-05-07,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
PENDLE,P2,PSEUDO_EVENT,PENDLE,SEG_F,2026-05-08,2026-05-11,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,PSEUDO_EVENT,ONDO,SEG_A,2026-03-28,2026-04-12,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,PSEUDO_EVENT,ONDO,SEG_B,2026-04-13,2026-04-19,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,PSEUDO_EVENT,ONDO,SEG_C,2026-04-20,2026-04-26,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,PSEUDO_EVENT,ONDO,SEG_D,2026-04-27,2026-04-30,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,PSEUDO_EVENT,ONDO,SEG_E,2026-05-01,2026-05-07,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
ONDO,P2,PSEUDO_EVENT,ONDO,SEG_F,2026-05-08,2026-05-11,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
