token,group,holders_available,entity_coverage,cex_holders,readiness,limitations
BSB,P0,true,25.0%,4,ARKHAM_PARTIAL_USEFUL,
LAB,P0,true,50.0%,8,ARKHAM_ENTITY_FLOW_READY,
UB,P0,true,35.0%,5,ARKHAM_PARTIAL_USEFUL,
AI,P0,true,50.0%,4,ARKHAM_ENTITY_FLOW_READY,no contract
PEPE,CONTROL,true,95.0%,19,ARKHAM_ENTITY_FLOW_READY,
WIF,CONTROL,true,90.0%,17,ARKHAM_ENTITY_FLOW_READY,
BONK,CONTROL,true,55.0%,8,ARKHAM_ENTITY_FLOW_READY,
FLOKI,CONTROL,true,90.0%,14,ARKHAM_ENTITY_FLOW_READY,
